"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Ajaponicus"
"60","74","178882.1391307694","178882.1391307694","0.3239400465784608"
"60","66","378618.05239581456","378618.05239581456","0.09201530813758016"
"60","62","190838.45026618676","190838.45026618676","0.30043087657773637"
"60","73","393701.24523552094","393701.24523552094","0.08367252431350174"
"60","65","497684.7789514963","497684.7789514963","0.04377014427422398"
"59","116","904288.2091457333","904288.2091457333","0.0033519076084787924"
"59","114","1134033.3154277247","1134033.3154277247","7.880671708503695E-4"
"59","107","988078.178688305","988078.178688305","0.001976921228843602"
"59","108","803466.7251355209","803466.7251355209","0.0063270865406360455"
"59","111","998947.0048506068","998947.0048506068","0.0018460579951517866"
"59","101","916188.0235519337","916188.0235519337","0.003109757865369177"
"59","100","742498.025384579","742498.025384579","0.009290796188007655"
"59","102","946132.6662260419","946132.6662260419","0.0025750103446165844"
"59","97","817826.9768722471","817826.9768722471","0.0057796958952918325"
"59","103","769697.3119999829","769697.3119999829","0.007827415308804686"
"59","92","674487.9471124738","674487.9471124738","0.014261715993079111"
"59","93","900850.9126376011","900850.9126376011","0.0034253004354901453"
"59","96","640315.8599472604","640315.8599472604","0.017688392180546447"
"59","85","746336.24942113","746336.24942113","0.009885779079613044"
"59","83","787288.1670646392","787288.1670646392","0.007006136661240844"
"59","81","644853.2397375386","644853.2397375386","0.017189814904638327"
"59","80","724327.4229932202","724327.4229932202","0.010417877912410497"
"59","89","570431.3192663948","570431.3192663948","0.02747495129525508"
"59","70","753234.8614476095","753234.8614476095","0.008720890120754526"
"59","67","729295.1691187866","729295.1691187866","0.010519179924776714"
"59","105","1067259.8845642041","1067259.8845642041","0.0012003221835736294"
"59","68","651804.8063646045","651804.8063646045","0.016453083076864952"
"59","118","754636.8159585097","754636.8159585097","0.0086066368342213"
"59","115","820997.795124931","820997.795124931","0.005665361302481828"
"59","113","741077.1187939879","741077.1187939879","0.009374355901185226"
"59","112","586554.5257689168","586554.5257689168","0.024820674465863696"
"59","99","618520.7612521986","618520.7612521986","0.020292409485769655"
"59","95","422998.54940649564","422998.54940649564","0.06956756534119844"
"59","94","571533.6287568731","571533.6287568731","0.02728477086892697"
"59","91","525838.5144699839","525838.5144699839","0.036389092138614944"
"59","90","585827.7699119422","585827.7699119422","0.024934602265001327"
"59","87","610793.1882396851","610793.1882396851","0.021304982140562707"
"59","117","726370.181174859","726370.181174859","0.01028463722848523"
