"ID1","ID2","Dist","DistM","BC_d110000_p0.5_beta0_Cauriga"
"80","118","747097.5069560857","747097.5069560857","0.009025386825859169"
"80","115","423743.33033099107","423743.33033099107","0.06924184159079089"
"80","113","423049.20990352816","423049.20990352816","0.06954536090711123"
"80","112","388454.7690529744","388454.7690529744","0.08648495597863803"
"80","99","224591.81196116633","224591.81196116633","0.24287000919869908"
"80","95","362778.80051072425","362778.80051072425","0.10167316824880127"
"80","94","222269.3465145383","222269.3465145383","0.24645045969673288"
"80","91","259438.4404825158","259438.4404825158","0.1949895512877301"
"80","90","177624.39472099536","177624.39472099536","0.32651762533067774"
"80","87","137976.58352053788","137976.58352053788","0.4191874478412087"
"80","117","797673.0809047015","797673.0809047015","0.006562342178511149"
"80","119","826459.7616944206","826459.7616944206","0.005473689974122801"
"80","109","866924.2192948579","866924.2192948579","0.004241736547163609"
"80","86","201478.04346876102","201478.04346876102","0.2809492439429252"
"80","84","285673.6489422851","285673.6489422851","0.16728331265203256"
"80","82","153894.84721718257","153894.84721718257","0.3791803045010118"
"80","88","317962.5292389024","317962.5292389024","0.13485038563226032"
"82","116","467516.0195116301","467516.0195116301","0.05255072098684449"
"82","114","563986.9505582547","563986.9505582547","0.028613621282201625"
"82","107","419961.2648804642","419961.2648804642","0.07091183890515652"
"82","108","232358.34501906703","232358.34501906703","0.23254146066259263"
"82","111","408439.6787776619","408439.6787776619","0.07746757928454062"
"82","101","325234.34320501843","325234.34320501843","0.12881068284625694"
"82","100","185653.31238628586","185653.31238628586","0.31716480277857034"
"82","102","353022.7199487305","353022.7199487305","0.11566463758131436"
"82","97","228168.4044735377","228168.4044735377","0.2374575902858487"
"82","103","181030.75981721978","181030.75981721978","0.3195837194037004"
"82","92","88771.75451685052","88771.75451685052","0.574704602675275"
"82","93","316729.1795840728","316729.1795840728","0.13590249259069026"
"82","96","46584.92889336636","46584.92889336636","0.7456138926784162"
"82","85","158443.2832277846","158443.2832277846","0.3698840273133822"
"82","83","207149.83369532294","207149.83369532294","0.2756878358858969"
"82","89","38274.98922272873","38274.98922272873","0.7856973243556551"
"82","110","719795.5290219572","719795.5290219572","0.01473417544227085"
"82","105","473525.41779718606","473525.41779718606","0.05413821202392509"
"82","104","685813.3481494795","685813.3481494795","0.013279394709286293"
"82","106","614886.7577042129","614886.7577042129","0.02076244827848332"
"82","118","613241.4644330556","613241.4644330556","0.021129749510681337"
"82","115","368457.29535456275","368457.29535456275","0.09809940688333552"
"82","113","333530.15216019005","333530.15216019005","0.1222501133229373"
"82","112","249455.34430033728","249455.34430033728","0.21363509516068263"
"82","99","109106.922328512","109106.922328512","0.5028217244355226"
"82","95","207969.04505238257","207969.04505238257","0.2696896980250412"
"82","94","85435.02794521673","85435.02794521673","0.5837076688266105"
"82","91","93812.43254494562","93812.43254494562","0.5536935818833193"
"82","90","34490.044940533204","34490.044940533204","0.8046616254552157"
"82","87","22861.329795092846","22861.329795092846","0.8658384230561542"
"82","117","653760.5277928598","653760.5277928598","0.016251565116072855"
"82","119","675597.5953183956","675597.5953183956","0.014162342076266533"
"82","109","701105.2395325535","701105.2395325535","0.012059517564407827"
"82","86","31519.100558232938","31519.100558232938","0.8198675253438709"
"82","84","110670.0","110670.0","0.4978935016062773"
"82","88","147066.9361209377","147066.9361209377","0.39585057536586993"
"84","116","482235.00588405953","482235.00588405953","0.0494963211193296"
"84","114","655481.9293466443","655481.9293466443","0.016519370410892444"
"84","107","509279.63634922553","509279.63634922553","0.04150457748269512"
"84","108","323470.28920752485","323470.28920752485","0.13025051728208983"
"84","111","520886.15454818873","520886.15454818873","0.03903350036318946"
"84","101","438807.24162210413","438807.24162210413","0.06547230537484212"
"84","100","263851.9890014094","263851.9890014094","0.18964136065954357"
"84","102","478100.6815514905","478100.6815514905","0.049160049128771956"
"84","97","340407.4881667556","340407.4881667556","0.11706538637251579"
"84","103","292520.14375081914","292520.14375081914","0.15829921056360807"
"84","92","197812.61840438787","197812.61840438787","0.2875138717803244"
"84","93","447748.3919569112","447748.3919569112","0.05952172190881224"
"84","96","175541.54636438633","175541.54636438633","0.33083132766585405"
"84","85","289673.98105456406","289673.98105456406","0.16178374453397154"
"84","89","149062.9960788391","149062.9960788391","0.3923979208463876"
"84","110","842362.9680844232","842362.9680844232","0.0049517522018246675"
"84","105","595272.6418205355","595272.6418205355","0.023493908098374094"
"84","104","811103.0960981465","811103.0960981465","0.006029840223719177"
"84","106","740839.8702148794","740839.8702148794","0.00938838088942071"
"84","118","535850.1615190563","535850.1615190563","0.03464043304695421"
"84","115","385040.16998230136","385040.16998230136","0.09131872497127898"
"84","113","325350.5889037233","325350.5889037233","0.13521588475732418"
"84","112","194213.4670922689","194213.4670922689","0.2941090384592877"
"84","99","142392.22731595975","142392.22731595975","0.40768455479879684"
"84","95","116129.44028109306","116129.44028109306","0.48563194148758515"
"84","94","102261.60178678973","102261.60178678973","0.524985351964098"
"84","91","52389.31188706318","52389.31188706318","0.7188354822944476"
"84","90","107008.51741800744","107008.51741800744","0.5095145661227823"
"84","87","138531.58195877212","138531.58195877212","0.4177240122485585"
"84","117","562417.6867773619","562417.6867773619","0.029594945505722555"
"84","119","575224.7478160156","575224.7478160156","0.027017261866629814"
"84","109","580351.9277989859","580351.9277989859","0.025809989838201815"
"84","86","71296.21658966203","71296.21658966203","0.6380991761446708"
"84","88","28972.409288838924","28972.409288838924","0.8357602400914206"
"83","116","496545.5983089558","496545.5983089558","0.04513214600894101"
"83","114","425607.5676018924","425607.5676018924","0.06843320349088763"
"83","107","312301.6600980526","312301.6600980526","0.14306002315211502"
"83","108","179371.7480541455","179371.7480541455","0.32568077820804997"
"83","111","231848.28422914798","231848.28422914798","0.23201473304493236"
"83","101","161618.8977192947","161618.8977192947","0.36138266450080914"
"83","100","191072.52759096434","191072.52759096434","0.303437216634848"
"83","102","136308.97439273738","136308.97439273738","0.426444235951058"
"83","97","84858.56762873128","84858.56762873128","0.5858318258156097"
"83","103","117795.62343313078","117795.62343313078","0.48150531312277217"
"83","92","148712.44231737955","148712.44231737955","0.39176725036304716"
