"ID1","ID2","Dist","DistM","BC_d10000_p0.01_beta0_Cvroliki","BC_d20000_p0.01_beta0_Cvroliki","BC_d50000_p0.01_beta0_Cvroliki","CF_beta0_Cvroliki","BC_d542300_p1.0E-10_beta0_Cvroliki"
"111","117","223635.8647444546","223635.8647444546","1.8742479785255078E-45","4.32925857223325E-23","1.1338756011998382E-9","16.584267356479508","7.518991653365175E-5"
"111","115","298135.875063703","298135.875063703","2.3595271952225793E-60","1.5360752570178908E-30","1.1873123834875016E-12","13.324884390689435","3.179662763604666E-6"
"111","112","305373.5417484624","305373.5417484624","8.419603700266873E-62","2.901655337952265E-31","6.096187695962407E-13","13.065729030838668","2.338399165997531E-6"
"111","120","490587.40301805525","490587.40301805525","7.629909669780791E-99","8.734935414632894E-50","2.379599556318543E-20","13.550471375517626","8.986263396428569E-10"
"111","133","392657.6116669576","392657.6116669576","2.940882456347673E-79","5.42299037095556E-40","1.966507165970024E-16","31.858510850378025","5.746485690346379E-8"
"111","130","186943.8418349207","186943.8418349207","4.085372234955682E-38","2.0212303765171553E-19","3.3284828730767175E-8","18.277892827152396","3.5707520434144117E-4"
"111","124","42999.99999999977","42999.99999999977","2.511886431509858E-9","5.011872336273E-5","0.019054607179632897","63.10675935176223","0.16109458843144792"
"111","114","115952.57651298655","115952.57651298655","6.448885964747106E-24","2.5394656848926126E-12","2.300895737137349E-5","25.161826228945053","0.007275067964356924"
"111","131","423491.4402912994","423491.4402912994","2.0031429446794728E-85","4.475648494553021E-43","1.1490593979629543E-17","32.634147361335316","1.5534905517342203E-8"
"111","129","440777.7217600718","440777.7217600718","6.98965351778707E-89","8.360414773076508E-45","2.3382609464086773E-18","33.003307162867934","7.47337528737123E-9"
"111","126","438381.11273183266","438381.11273183266","2.1075478983082887E-88","1.4517396110557462E-44","2.915786680996823E-18","37.75453060854178","8.267057626013014E-9"
"111","121","47010.637094172635","47010.637094172635","3.961617862234692E-10","1.990381335883828E-5","0.013169658582963765","66.70825003313931","0.1358704119998783"
"119","134","273928.8228719276","273928.8228719276","1.637704059760921E-55","4.046855643287664E-28","1.103689942784343E-11","35.82638095640302","8.887069320223893E-6"
"119","125","346359.6396810689","346359.6396810689","5.346530686244594E-70","2.312256622056599E-35","1.3983452540622862E-14","30.000201028633146","4.103398058547992E-7"
"119","136","334293.28440756915","334293.28440756915","1.3846599106698172E-67","3.7211018672831537E-34","4.248822846687917E-14","31.598712338407605","6.849190325420202E-7"
"119","122","225887.13996153022","225887.13996153022","6.646178599679106E-46","2.5780183474287197E-23","9.215404472177544E-10","41.9757347674141","6.833546276603619E-5"
"119","127","32449.961479175905","32449.961479175905","3.235993973686253E-7","5.688579764480985E-4","0.05035023951603871","77.0066735985395","0.25212936408627445"
"119","135","86348.1325796916","86348.1325796916","5.374938309892429E-18","2.318391319404994E-9","3.5162091263608993E-4","81.4689946280708","0.025570684050635523"
"119","123","13892.443989449805","13892.443989449805","0.0016653717835170302","0.04080896694988775","0.2781648438837141","160.37878469045333","0.5544005344195772"
"119","120","61032.778078668445","61032.778078668445","6.215046527956095E-13","7.883556638951797E-7","0.003619835849848783","118.3801965323999","0.07491295419798377"
"117","132","274634.3023003492","274634.3023003492","1.1834217310816255E-55","3.4400897242392173E-28","1.0342556640969528E-11","12.732627130385632","8.624810121321283E-6"
"117","134","349548.27992710785","349548.27992710785","1.2312436808784701E-70","1.1096142036214525E-35","1.0424825711627045E-14","12.147625989882476","3.5837479121459147E-7"
"117","128","184228.11946062936","184228.11946062936","1.4268427335893194E-37","3.777357189344581E-19","4.2744005944668755E-8","14.51579783242848","4.007168029402E-4"
"117","125","203835.7181653889","203835.7181653889","1.7094498597098855E-41","4.134549382592842E-21","7.023786037603301E-9","11.73139075113009","1.7429056088227507E-4"
"117","136","18788.29422805583","18788.29422805583","1.7471940996216482E-4","0.013218146994271353","0.1772018415284708","67.72462097069175","0.45034388513967344"
"117","122","229072.04107005266","229072.04107005266","1.5331752011156246E-46","1.2382145214443355E-23","6.872557105889916E-10","13.193960774490174","5.969210900831056E-5"
"117","118","155999.99999999977","155999.99999999977","6.309573444802647E-32","2.5118864315097225E-16","5.754399373371707E-7","16.392980732947855","0.0013285057913354256"
"117","135","322013.9748520238","322013.9748520238","3.955533159600848E-65","6.289302949930816E-33","1.3165610603794787E-13","16.39096011483969","1.1536376713797924E-6"
"117","123","539834.2338162703","539834.2338162703","1.0793274856597709E-108","1.038906870542192E-54","2.5505312401781786E-22","22.79897729698528","1.110383317075671E-10"
"117","119","474001.0548511466","474001.0548511466","1.584123474921852E-95","3.980104866610743E-48","1.0963716725610234E-19","23.19210245015217","1.8173184637757396E-9"
"117","120","224555.11572885592","224555.11572885592","1.2273738163955647E-45","3.5033895250108354E-23","1.0418264300770007E-9","21.395052126451386","7.231171053653965E-5"
"117","133","531768.7467311325","531768.7467311325","4.428438866967996E-107","6.654651656954673E-54","5.361670283244832E-22","24.526393068782937","1.6029910991120293E-10"
"117","130","191627.24232217073","191627.24232217073","4.72662922128401E-39","6.875048524398944E-20","2.162271913313361E-8","14.288465879388292","2.926832655276989E-4"
"117","124","199672.2314193939","199672.2314193939","1.1629303802455544E-40","1.0783924982331593E-20","1.0306488979710295E-8","14.376023056923156","2.0799289280221852E-4"
"117","121","222854.21243494583","222854.21243494583","2.6863185621158308E-45","5.182970733195231E-23","1.218516747566462E-9","23.486013091700134","7.772724130697607E-5"
"89","132","530687.2902190129","530687.2902190129","7.286885680502382E-107","8.536325720415302E-54","5.922545300369225E-22","9.767538379677383","1.6373371335308319E-10"
"89","128","432226.7923208826","432226.7923208826","3.5862580476581443E-87","5.988537423827411E-44","5.139588008493222E-18","10.090419588466359","1.0708965363387772E-8"
"89","125","477670.38844793313","477670.38844793313","2.9236293321204414E-96","1.7098623722745764E-48","7.819598634163511E-20","9.30791787665508","1.5551368303405267E-9"
"89","136","290396.280967921","290396.280967921","8.3318953484117E-59","9.127921640993475E-30","2.421858477209326E-12","12.844461503949468","4.416711223417395E-6"
"89","122","454920.8722404364","454920.8722404364","1.0371117434703572E-91","3.2204219342663116E-46","6.355725183340226E-19","9.93009899960902","4.085725473876744E-9"
"89","118","372361.38360469055","372361.38360469055","3.3707246657466125E-75","5.805794231409353E-38","1.2751012039645484E-15","11.199767703175223","1.3603928037991442E-7"
"89","117","247386.3375370592","247386.3375370592","3.332210991427401E-50","1.8254344664839109E-25","1.2721739503799967E-10","14.112446972097128","2.7428459091215343E-5"
"89","110","279308.0736391266","279308.0736391266","1.3752614586663834E-56","1.1727154210064705E-28","6.724764103694371E-12","13.100049832296182","7.072375363394912E-6"
"89","115","234307.49027719922","234307.49027719922","1.3756309696701556E-47","3.7089499452947E-24","4.243267284132935E-10","14.879483624970193","4.779418919232604E-5"
"89","112","236685.44526438418","236685.44526438418","4.601622068055724E-48","2.1451391721880714E-24","3.4086482673253955E-10","14.7581669824498","4.320416606726762E-5"
"89","108","147353.31689514132","147353.31689514132","3.383269713074056E-30","1.839366660857496E-15","1.2760489197184852E-6","20.289717240686024","0.0019178211204390532"
"89","105","339377.371078273","339377.371078273","1.332066125596398E-68","1.1541516908952644E-34","2.660144062450488E-14","12.741521300088737","5.519360828912874E-7"
"89","104","86023.25267042627","86023.25267042627","6.2423694130369054E-18","2.4984734165159544E-9","3.623013006853818E-4","30.64870696987955","0.02592585718071309"
"89","100","187882.94228055916","187882.94228055916","2.6510110861118047E-38","1.628192582623998E-19","3.052687221752474E-8","17.24504574057555","3.4311736804729695E-4"
"89","101","94921.01980067429","94921.01980067429","1.0370412699725837E-19","3.2203125158477766E-10","1.5964642876690544E-4","28.772390820619357","0.017768816212682278"
"89","98","102532.92154230253","102532.92154230253","3.1146961893939523E-21","5.580946326022095E-11","7.919233315902266E-5","26.85123550250022","0.01286160583193104"
"89","99","226241.02192131276","226241.02192131276","5.646711711546035E-46","2.376281067455202E-23","8.91988228673354E-10","15.680635444750578","6.73163503448035E-5"
"89","96","42190.046219457974","42190.046219457974","3.6474618327628397E-9","6.0394220193349954E-5","0.02053043499517519","54.07555405745194","0.1667310485085697"
"89","95","84599.05436823737","84599.05436823737","1.2027881101730592E-17","3.4681235707123516E-9","4.130834783024164E-4","31.75187008838997","0.02754198956904238"
"89","135","510907.0365536175","510907.0365536175","6.585559672177608E-103","8.1151461306483E-52","3.662001668618891E-21","12.164896274812504","3.792150380638435E-10"
"89","120","387951.027837277","387951.027837277","2.5691794083752726E-78","1.602865998259141E-39","3.0336039874662243E-16","14.931226799344726","7.017648819463487E-8"
"89","94","164149.32226482066","164149.32226482066","1.479570102641891E-33","3.84651803926862E-17","2.71660883893431E-7","19.180817097141713","9.399183528681333E-4"
"89","103","113053.08487608819","113053.08487608819","2.4512241389596098E-23","4.9509838809671054E-12","3.005222314746202E-5","28.973856093050628","0.00822817683127281"
"89","130","393814.6772277532","393814.6772277532","1.7260944432475048E-79","4.154629277381443E-40","1.7677177016059057E-16","10.83217492534194","5.470991830104255E-8"
