"ID1","ID2","Dist","DistM","BC_d654500_p1.0E-10_beta0_Clunulatus"
"16","46","465894.8379194597","465894.8379194597","7.614964268227838E-8"
"16","41","415409.436580345","415409.436580345","4.498082106334608E-7"
"16","38","524626.5338314481","524626.5338314481","9.646703267560428E-9"
"16","40","313129.3662370231","313129.3662370231","1.643413639720572E-5"
"16","42","407207.5637804385","407207.5637804385","6.002625813122259E-7"
"16","30","285602.87113402755","285602.87113402755","4.3283241552086715E-5"
"16","34","315356.9406244295","315356.9406244295","1.5195400010774483E-5"
"16","28","609764.7087196828","609764.7087196828","4.844116995968015E-10"
"16","31","376151.56519679655","376151.56519679655","1.7899498730076622E-6"
"16","27","548876.1244579689","548876.1244579689","4.125926508039409E-9"
"16","26","547083.174663597","547083.174663597","4.394562838076417E-9"
"16","23","200092.47861926234","200092.47861926234","8.766359462304522E-4"
"16","18","10000.0","10000.0","0.7034149784722452"
"16","19","1000.0","1000.0","0.9654308250521239"
"16","25","154780.4897265801","154780.4897265801","0.004316520911194342"
"16","39","417468.5616905779","417468.5616905779","4.183746060102768E-7"
"15","25","515908.9066879923","515908.9066879923","1.3166327572163646E-8"
"15","39","415234.87329462054","415234.87329462054","4.5257786001168886E-7"
"15","44","626355.3304634665","626355.3304634665","2.742824990607374E-10"
"15","36","436806.5933568302","436806.5933568302","2.1188610133335825E-7"
"15","33","436867.25672679936","436867.25672679936","2.1143437870537776E-7"
"15","32","433520.47241162584","433520.47241162584","2.37854067135357E-7"
"15","24","263856.02134497475","263856.02134497475","9.302215176531686E-5"
"15","29","162828.13024781644","162828.13024781644","0.003252185015733708"
"15","22","231898.68477419156","231898.68477419156","2.8632375137706224E-4"
"15","17","191049.731745428","191049.731745428","0.0012049858482521428"
"14","39","514744.5968633372","514744.5968633372","1.3655269590319891E-8"
"14","15","193651.74928205527","193651.74928205527","0.0010995782424229863"
"14","44","530890.7608915402","530890.7608915402","7.839533796606915E-9"
"14","36","324779.9254880132","324779.9254880132","1.0907867923118584E-5"
"14","33","321566.4783524542","321566.4783524542","1.2213472632354149E-5"
"14","32","320295.1763608054","320295.1763608054","1.2772079980307962E-5"
"14","24","148976.50821522123","148976.50821522123","0.005294341422862863"
"14","29","61846.58438426455","61846.58438426455","0.11351571954143423"
"14","22","39999.999999999534","39999.999999999534","0.24481974862123476"
"14","17","76485.29270389177","76485.29270389177","0.06782558395487588"
"19","21","32695.565448543628","32695.565448543628","0.3165553995938743"
"19","20","30413.8126514911","30413.8126514911","0.34301432616941113"
